Kształcenie słuchu 2 (grupa 1)	2L	dr hab. M. Moc, pfor. AMKL	2	zst	egz	2	2	2	2	4	I		poniedziałek	14:35	15:55	301F		Kontynuacja "Kształcenia słuchu 1". Zapis tylko po wcześniejszym ustaleniu z prowadzącym	
Kształcenie słuchu 2 (grupa 2)	2L	dr hab. Adam Porębski	2	zst	egz	2	2	2	2	4	I		poniedziałek	16:00	17:30	301F		Kontynuacja "Kształcenia słuchu 1". Zapis tylko po wcześniejszym ustaleniu z prowadzącym	
Kształcenie słuchu z partyturą orkiestrową	3L	dr hab. M. Moc, prof AMKL /  dr hab. Adam Porębski	5	zst	egz	2	2	2	2	4	I		poniedziałek	17:35	19:05	301F		Przedmiot rekomendowany studentom kompozycji i teorii muzyki	
Kultura i sztuka Baroku na Śląsku 1648-1741	3L	dr Dariusz Galewski	30	zal	zst	2	2	2	2	4	I		piątek	10:05	11:35	001E			
Literatura muzyczna 1	1L	dr Miłosz Kula	15	zst	zst	2	2	2	2	4	I		poniedziałek	12:05	13:35	001E		Od starożytności do XVIII w.	
Literatura muzyczna 2	2L	dr Aleksandra Pijarowska, prof. AMKL	2	zst	egz	2	2	2	2	4	I		środa	11:00	12:30	301B		Kontynuacja "Literatury muzycznej 1"	
Metodologia pracy naukowej	2L	prof. dr hab. Anna Granat-Janki	2	zst	egz	1	1	1	1	2	I		środa	14:15	15:00	202B			
Metody analityczne w XX i XXI wieku	1M	dr hab. Tomasz Kienik	2	zal	zst	2	2	2	2	4	I		czwartek	10:00	11:30	301B			
Muzyka a humanistyka	2M	dr Katarzyna Bartos	15	zst	egz	2	2	2	3	5	I		czwartek	13:10	14:40	005D		Fakultet dla studentów Wydziału Instrumentalnego	
Muzyka i media	2L	mgr Joanna Kołodziejska	10	zal	zst	1	1	1	1	2	I		wtorek	17:00	18:30	002E	 realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Muzyka polska XX i XXI wieku	2L	dr Aleksandra Pijarowska, prof. AMKL	2	zst	egz	2	2	2	2	4	I		środa	12:35	14:05	301B			
Muzyka XX i XXI wieku 1	1M	prof. dr hab. Anna Granat-Janki	5	zst	zst	2	2	2	2	4	I		środa	11:00	12:30	202B			
Muzyka XX i XXI wieku 2	2M	dr Katarzyna Bartos	10	zst	egz	2	2	3	3	6	I		środa	14:15	15:45	203B		Kontynuacja "Muzyki XX i XXI wieku 1"	
Muzykologiczna informacja naukowa - wprowadzenie do bibliografii muzycznej	2M	dr Katarzyna Bartos	10	zst	egz	2	2	3	3	6	I		środa	12:30	14:00	203B			
Nowe media	2M	mgr Maciej Michaluk		zst	zst	1	1	2	2	4	I		czwartek	11:35	14:05	112E SKK			
Nowoczesne metody zarządzania zespołem	3L	dr hab. Robert Kurdybacha	15	zst	zst	1	1	1	1	2	I		czwartek	15:15	16:45	301B	 realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Organizacja życia muzycznego	2L	dr Miłosz Kula	10	zal	zst	1	1	1	1	2	I		poniedziałek	13:40	14:25	001E			
Orkiestra muzyki XX i XXI wieku	wszystkie lata	dr hab. Robert Kurdybacha	b.o.	zal	zal	2	2	3	3	6	I		czwartek	17:00	20:00	102E	 realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Paleografia muzyczna	1M	dr Grzegorz Joachimiak	5	zal	zst	2	2	2	2	4	I		czwartek	12:30	14:00	002E			
Podstawy instrumentacji i kompozycji	2L	mgr Olgierd Juzala-Deprati (doktorant)	2	zal	zst	1	1	1	1	2	I		wtorek	08:50	10:20	002E			
Podstawy realizacji nagrań	3L	mgr Kamil Biedrzycki	5	zst	-	2	-	2	-	2	I		poniedziałek	10:30	12:00	112 SKK			
Podstawy reżyserii dźwięku	1M	mgr Kamil Biedrzycki	3	zal	zst	1	1	1	1	2	I		poniedziałek	17:00	20:00	112 SKK	 zajęcia w blokach, realizacja w ustalonych przez prowadzącego terminach	wyłącznie po zrealizowaniu kursu "Podstawy realizacji nagrań"	
Polifonia XX i XXI wieku (grupa 1)	3L	prof. dr hab. Krystian Kiełb	2	zst	egz	2	2	2	2	4	I		wtorek	14:00	15:30	203B			
Polifonia XX i XXI wieku  (grupa 2)	3L	prof. dr hab. Krystian Kiełb	2	zst	egz	2	2	2	2	4	I		wtorek	15:45	17:15	203B			
Praktyki orkiestrowe	wszystkie lata	opiekun mgr Jan Bielak	b.o.	zal	zal	1	1	2	2	4	I		 terminy ustali prowadzący				zajęcia w blokach		
Propedeutyka kompozycji komputerowej	3L	mgr Maciej Michaluk	2	zst	egz	2	2	2	2	4	I		środa	10:55	12:25	112 SKK			
Propedeutyka muzyki teatralnej i filmowej	3L	dr hab. Sebastian Ładyżyński /  mgr Ignacy Wojciechowski	2	zst	egz	2	2	2	2	4	I		poniedziałek	12:05	13:35	112 SKK			
Psychologia twórczości	2L	dr Amelia Golema	5	zal	zst	2	2	2	2	4	I		czwartek	10:00	11:30	217A			
Publicystyka muzyczna	2M	mgr Joanna Kołodziejska	10	zst	egz	2	2	3	3	6	I		środa	11:00	12:30	002E			
Techniki kompozytorskie w XX i XXI wieku	2L	dr Mateusz Ryczek	2	zst	egz	2	2	2	2	4	I		czwartek	08:25	09:55	112 SKK			
Technologia muzyki teatralnej i filmowej 	2M	dr hab. Sebastian Ładyżyński	7	zst	egz	2	2	2	2	4	I		wtorek	09:00	12:00	301B	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Technologia muzyki komputerowej 1	1M	dr Marcin Rupociński	2	zst	zst	2	2	3	3	6	I		wtorek	09:00	12:00	112 SKK	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Technologia muzyki komputerowej 2	2M	dr Marcin Rupociński	2	zst	egz	2	2	2	2	4	I		wtorek	09:00	12:00	112 SKK	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	Kontynuacja "Technologii muzyki kumputerowej 1"	
Translatorium specjalistyczne języka angielskiego	2M	dr Aleksandra Ferenc	8	zst	zst	1	1	1	1	2	I		czwartek	10:45	11:30	201F			
Wielkie formy muzyczne	2M	dr Aleksandra Pijarowska, prof. AMKL	15	zst	egz	2	2	2	2	4	I		środa	09:25	10:55	301B			
Wprowadzenie do teorii muzyki	1L	dr hab. Tomasz Kienik	10	zst	egz	1	1	4	4	8	I		czwartek	09:05	09:50	301B			
Arteterapia	2L	dr Katarzyna Turek	8	zal	zst	2	2	2	2	4	I	Mt	wtorek	11:30	13:00	201F			
Historia muzykoterapii z literaturą muzyczną	1L	dr Klaudia Kukiełczyńska-Krawczyk	12	zst	zst	2	2	2	2	4	I	Mt	wtorek	13:15	14:45	201F			
Instrumentarium Orffa w muzykoterapii	1L	dr Klaudia Kukiełczyńska-Krawczyk	12	zal	zst	1	1	1	1	2	I	Mt	wtorek	14:50	15:35	201F			
Metody i techniki muzykoterapii (grupa 1)	2L	dr Daniela Colonna-Kasjan	3	zal	zst	1	1	1	1	2	I	Mt	czwartek	09:00	09:45	305F			
Metody i techniki muzykoterapii (grupa 2)	2L	dr Daniela Colonna-Kasjan	3	zal	zst	1	1	1	1	2	I	Mt	czwartek	09:50	10:35	305F			
Metody i techniki parateatralne	1L	mgr Wiktoria Łukowicz-Zając	14	zal	zst	2	2	2	2	4	I	Mt	środa	15:05	16:35	305F			
Metody i techniki relaksacyjne	2L	dr Agnieszka Zygmont		zal	zst	1	1	1	1	2	I	Mt	poniedziałek	11:00	13:15	ul. Ciepła 15B	grupa I i II		
Muzykoterapia kreatywna 	1M	dr Klaudia Kukiełczyńska-Krawczyk	12	zal	zst	2	2	2	2	4	I	Mt	środa	12:20	13:50	305F			
Pedagogika specjalna	1L	dr hab. Barbara Winczura	16	zst	zst	2	2	2	2	4	I	Mt	środa	08:30	10:00	217A			
Podstawy anatomii i fizjologii	1L	mgr Katarzyna Koenig	12	zal	zst	2	2	2	2	4	I	Mt	czwartek	13:10	14:50	201F			
Podstawy harmonii (grupa podstawowa)	2L	dr Aleksandra Ferenc	4	zal	zst	1	1	1	1	2	I	Mt	czwartek	09:00	09:45	217A	grupa podstawowa	Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy harmonii (grupa zaawansowana)	2L	dr Aleksandra Ferenc	4	zal	zst	1	1	1	1	2	I	Mt	czwartek	09:50	10:35	201F	grupa zaawansowana	Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy kompozycji i instrumentacji	2L	dr Grzegorz Wierzba	2	zal	zst	1	1	2	2	4	I	Mt	wtorek	13:45	14:30	404B		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy kontrapunktu	3L	mgr Jan Bielak	12	zal	zst	1	1	2	2	4	I	Mt	środa	13:15	14:00	201F			
Podstawy kształcenia słuchu (grupa 1)	1L	mgr Joanna Kołodziejska	4	zal	zst	1	1	1	1	2	I	Mt	czwartek	13:20	14:05	002E		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Podstawy kształcenia słuchu (grupa 2)	1L	mgr Joanna Kołodziejska	4	zal	zst	1	1	1	1	2	I	Mt	piątek	14:10	14:55	002E			
Profilaktyczne zastosowanie muzykoterapii (grupa 1)	1M	mgr Angelika Wojciechowska	10	zal	zst	1	1	1	1	2	I	Mt	poniedziałek	14:10	14:55	305F			
Profilaktyczne zastosowanie muzykoterapii (grupa 2)	1M	mgr Angelika Wojciechowska	10	zal	zst	1	1	1	1	2	I	Mt	poniedziałek	15:00	15:45	305F			
Psychiatria	2L	dr E. Trypka, prof. UMW	10	zst	egz	2	2	2	2	4	I	Mt	poniedziałek	10:00	12:15	Klinika Psychiatrii, Wyb. Pasteura 10	co 2 tygodnie	zajęcia będą osbywać się w październiku i listopadzie	
Psychologia kliniczna 	2L	dr Barbara Kobusińska	12	zst	egz	2	2	2	2	4	I	Mt	poniedziałek	08:00	09:30	201F			
Psychologia muzyki	2M	dr Amelia Golema	8	zst	egz	1	1	1	1	2	I	Mt	wtorek	12:05	13:35	217A		wykład	
Psychologia ogólna	1L	mgr Wojciech Bartnicki	4	zal	zst	2	2	2	2	4	I	Mt	czwartek	08:00	09:30	002B			
Psychoterapia	2L	mgr Wojciech Bartnicki	12	zal	zst	2	2	2	2	4	I	Mt	czwartek	11:35	13:05	201F			
Rehabilitacja	2L	mgr Arnold Górka	12	zal	zst	2	2	2	2	4	I	Mt	poniedziałek	13:45	15:15	201F			
Terapia ruchem i tańcem	3L	dr Agnieszka Zygmont	2	zst	egz	1	1	1	1	2	I	Mt	poniedziałek	09:30	11:00	ul. Ciepła 15B		wykład	
Wprowadzenie do analizy dzieła muzycznego	2L	dr Aleksandra Ferenc	2	zal	zst	1	1	1	1	2	I	Mt	czwartek	08:10	08:55	217A		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Wprowadzenie do historii muzyki	1L	mgr Joanna Kołodziejska	12	zst	zst	2	2	2	2	4	I	Mt	poniedziałek	12:30	13:00	305F		Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia	
Zespół kameralny w muzykoterapii	1M	mgr Olgierd Juzala-Deprati (doktorant)	10	zal	zst	1	1	1	1	2	I	Mt	wtorek	15:00	16:30	305F			
Badania naukowe muzycznej praktyki wykonawczej	1-3L	dr Maria Brzuchowska	20	zal	zal	1	1	2	2	4	II		piątek	13:20	14:05	217A			
Trening twórczego myślenia	1-3L	mgr o. Wojciech Bartnicki	15	zst	zst	2	2	2	2	4	II		środa	10:30	12:00	203F			
MP3 – Muzyczne pogotowie – trema, kryzys tożsamość (grupa 1)	L/M	dr Amelia Golema/ mgr Małgorzata Kramarz	16	zst	zst	2	2	2	2	4	II		 środa	10:30	12:00:00	217A			
MP3 – Muzyczne pogotowie – trema, kryzys tożsamość (grupa 2)	L/M	dr Amelia Golema/ mgr Małgorzata Kramarz	16	zst	zst	2	2	2	2	4	II		środa	12:00	13:30	217A			
Harmonia	L/M	dr Katarzyna Dziewiątkowska	5	zal	zal	2	2	2	2	4	II		wtorek	15:30	17:00	301F			
Historia filozofii	1-3L	mgr o. Wojciech Bartnicki	30	zal	zst	2	2	2	2	4	II		środa	14:10	15:45	001E			
Historia estetyki	L	dr Dariusz Galewski	30	zal	zst	2	2	2	2	4	II		wtorek	10:35	12:05	001E			
Orkiestra symfoniczna	L/M	dr hab. Bassem Akiki	50	zst	zst	3	3	2	2	4	II		według planu projektu orkiestrowego					Punkty ECTS za jeden projekt. W wyjątkowych przypadkach i po konsultacji z Dziekanem - przedmiot możliwy do wyboru również dla studentów Wydziału II	
Projekty artystyczne / praktyka wykonawcza	L/M	prof. dr hab. Urszula Marciniec-Mazur  / dr Beata Paszko   		zal	zal	-	-	2 - 6	2 - 6	2 - 12	II						podstawa zaliczenia – udokumentowany projekt (afisz, umowa)	2 ECTS za projekt / maks. 3 projekty w semestrze	
Próby sekcyjne (tylko dla osób grających w Orkiestrze Symfonicznej)	L/M	w zależności od sekcji	50	zst	zst	0,5	0,5	0,5	0,5	1	II							 za jeden projekt	
Orkiestra kameralna	L/M	dr Zbigniew Szufłat	10	zst	zst	3	3	2	2	4	II		według planu projektu orkiestrowego					 Punkty ECTS za jeden projekt. W wyjątkowych przypadkach i po konsultacji z Dziekanem - przedmiot możliwy do wyboru również dla studentów Wydziału II	
Orkiestra dęta	L/M	dr Piotr Bugaj	40	zst	zst	3	3	2	2	4	II		środa	15:00	19:30	102E		 Punkty ECTS za jeden projekt. W wyjątkowych przypadkach i po konsultacji z Dziekanem - przedmiot możliwy do wyboru również dla studentów Wydziału II	
Orkiestra barokowa	L/M	dr Paweł Miczka	20	zst	zst	3	3	3	3	6	II		do uzgodnienia 					 za jeden projekt	
Zespół kameralny (duet)	L/M	Pedagodzy Wydziału Instrumentalnego	2-5	ekm	ekm	1	1	2	2	4	II		do uzgodnienia z pedagogiem					W wyjątkowych sytuacjach, za zgodą Dziekana	
Zespół kameralny (trio, kwartet, kwintet)	L/M	Pedagodzy Wydziału Instrumentalnego	2-5	ekm	ekm	2	2	4	4	8	II		do uzgodnienia z pedagogiem					W wyjątkowych sytuacjach, za zgodą Dziekana	
Chór im. S. Krukowskiego	L/M	mgr Magdalena Wojtas	60	zst	zst	3	3	3	3	6	II		środa	15:15	17:30	001B			
Analiza materiałów źródłowych	2L	dr Grzegorz Joachimiak	10	zst	egz	2	2	2	2	4	II		wtorek	10:00	11:30	217A			
Problemy wykonawcze muzyki dawnej	1M	dr Grzegorz Joachimiak	20	zal	zal	1	1	1	1	2	II		wtorek	09:00	09:45	217A			
Budowa i strojenie instrumentów	1-3L	mgr Kazimierz Pyzik	10	zal	zal	1	1	1	1	2	II		do uzgodnienia z pedagogiem						
Język niemiecki (B1/B2)	L/M	mgr Marcin Marek	7	zst	egz	2	2	2	2	4	II		grupa do uzgodnienia z prow. zajęcia w zależności od poziomu języka					zapisy odbędą się 2.10.2023r. w godz. 12:15-14:30 w sali 114A 	
Język włoski (B1/B2)	L/M	mgr Anna Karaś	4	zst	egz	2	2	2	2	4	II		środa	08:55	10:25	204F		oferta skierowana do studentów wykazujących się znajomością języka na poziomie B2, zapisy odbędą się dnia 4.10.2023r. w godz. 13:45-14:15 w sali 204F	
Praca nad plastyką ciała z elementami tańca	1L	mge Marta Stępień 	2	zst	zst	2	2	1	1	2	III		czwartek	10:00	11:30	204E			
Praca nad plastyką ciała z elementami tańca	2L	mger Anna Szopa	2	zst	zst	2	2	1	1	2	III		środa	08:00	09:30	204E			
Pantomima (grupa 1)	1L	mgr Agnieszka Kulińska	4	zst	egz	2	2	1	1	2	III		wtorek	15:00	16:30	204E			
Pantomima (grupa 2)	1L	mgr Agnieszka Kulińska	4	zst	egz	2	2	1	1	2	III		wtorek	16:30	18:00	204E			
Etiudy sceniczna (grupa 1)	1L	mgr Aleksandra Dytko-Masztalska	4	zst	zst	2	2	1	1	2	III		czwartek 	14:30	16:00	301A			
Etiudy sceniczna (grupa 2)	1L	mgr Aleksandra Dytko-Masztalska	4	zst	zst	2	2	1	1	2	III		czwartek	16:00	17:30	301A			
Etiudy sceniczna (grupa 1)	2L	mgr Aleksandra Dytko-Masztalska	4	zst	egz	2	2	1	1	2	III		środa	14:00	15:30	301A			
Etiudy sceniczna (grupa 2)	2L	mgr Aleksandra Dytko-Masztalska	4	zst	egz	2	2	1	1	2	III		środa	15:30	17:00	301A			
Specjalistyczna literatura pieśniarska i oratoryjno kantatowa	2L	mgr Karolina Gołębiowska	2	zst	egz	2	2	2	2	4	III		wtorek	09:00	10:30	001E			
Specjalistyczna literatura pieśniarska i oratoryjno kantatowa	3L	mgr Karolina Gołębiowska	2	zst	egz	2	2	2	2	4	III		czwartek	08:25	09:55	001E			
Zarys stylistyki muzyki dawnej	3L	dr hab. Olga Ksenicz	4	zst	egz	1	1	1	1	2	III		wtorek	14:35	15:20	002E			
Specjalistyczna literatura operowa	1M	mgr Karolina Gołębiowska	4	zst	egz	2	2	2	2	4	III		środa	11:10	12:40	001E			
Sceny aktorskie (grupa 1)	1M	mgr Aleksandra Dytko	2	zst	egz	2	2	1	1	2	III		wtorek	10:00	11:30	301A			
Sceny aktorskie (grupa 2)	1M	mgr Aleksandra Dytko	2	zst	egz	2	2	1	1	2	III		wtorek	11:30	13:00	301A			
Łacina 	1M	dr Bogusława Frontczak	6	zst	zst	1	1	1	1	2	III		piątek	13:45	14:30		 on-line		
Retoryka i zdobnictwo	1M	dr hab. Olga Ksenicz	2	x	zst	x	2	x	2	2	III		wtorek	13:00	14:30	109F			
Retoryka i zdobnictwo	2M	dr hab. Olga Ksenicz	2	zst	x	2	2	2	x	2	III		wtorek	13:00	14:30	109F			
Zespoły wokalno-instrumentalne	1/2M	mgr Bartosz Kokosza / mgr Adrianna Gołos wymagana akceptacja Kierownika Katedry Wokalistyki i pedagoga prowadzącego przedmiot		zst	zst	3	3	4	4	8	III		poniedziałek	14:45	17:00	203F			
Chorał gregoriański	1M	mgr Łukasz Czartowski	4	zst	egz	1	1	1	1	2	III		wtorek	11:45	12:55	203F			
Temperacje historyczne	2M	dr hab. Tomasz Głuchowski	4	zst	x	2	x	1	x	1	III		sroda	10:00	11:30	104A			
taniec dawny	1/2M	mgr Anna Gościniak	6	zst	x	3	x	2	x	2	III		piątek	10:30	13:30				
Analiza dzieła muzycznego - poziom 1 	1L	dr Agnieszka Zwierzycka	8	zst	zst	2	2	2	2	4	IV		środa	13:00	14:30	001F			
Analiza dzieła muzycznego - poziom 2	2L	dr Agnieszka Zwierzycka	8	zst	zst	2	2	2	2	4	IV		czwartek	14:45	16:15	001F			
Chorał gregoriański	2L	o.dr R. Tomczak	2	zst	egz	1	1	1	1	2	IV		poniedziałek	12:00	12:45	114A			
Chór Feichtinum	wszystkie lata	dr hab. Artur Wróbel, prof. AMKL / mgr Magdalena Wojtas	b. o.	zst	zst	4	4	4	4	8	IV		wtorek  środa	10:30	12:00	102E			
Chór Kameralny	wszystkie lata	prof. dr hab. Jolanta Szybalska-Matczak / wykł. Kacper Kubiak	b. o.	zst	zst	4	4	4	4	8	IV		poniedziałek  środa	18:00	19:30	001B			
Folklor	3L	dr Agnieszka Zwierzycka	3	zal	zst	1	1	1	1	2	IV		środa	12:10	12:55	001F			
Komunikacja wizerunkowa i strategie komunikacyjne w mediach	1M	mgr Maciej Wojciechowski	6	-	zst	-	2	-	3	3	IV		czwartek	15:00	16:30	101B			
Kontrapunkt	3L	dr hab. Ryszard Osada	2	zst	zst	1	1	1	1	2	IV		wtorek	15:00	15:45	101B			
Kształcenie słuchu 1 (grupa 1)	1L	wykł. Michał Kanafa	2	zst	zst	2	2	2	2	4	IV		poniedziałek	12:00	13:30	001B			
Kształcenie słuchu 1 (grupa 2)	1L	prof. dr hab. Ewa Grygar	2	zst	zst	2	2	2	2	4	IV		wtorek	12:15	13:45	114A			
Kształcenie słuchu 2 (grupa 1)	2L	wykł. Michał Kanafa	2	zst	zst	2	2	2	2	4	IV		poniedziałek	13:45	15:15	001B			
Kształcenie słuchu 2  (grupa 2)	2L	prof. dr hab. Ewa Grygar	2	zst	zst	2	2	2	2	4	IV		środa	08:45	10:15	114A			
Literatura chóralna 1	1M	prof. dr hab. Marta Kierska-Witczak	3	zst	zst	1	1	1	1	2	IV		czwartek	10:30	11:15	101B			
Literatura chóralna 2	2M	prof. dr hab. Marta Kierska-Witczak	3	egz	-	1	-	1	-	1	IV		środa	12:10	12:55	101B			
Literatura chóralna XX i XXI wieku	1M	wykł. Kacper Kubiak	7	zst	zst	1	1	2	2	4	IV		poniedziałek	13:00	13:45	101B			
Literatura chóralna XX i XXI wieku	2M	wykł. Kacper Kubiak	7	zst	egz	1	1	2	2	4	IV		poniedziałek	14:00	14:45	101B			
Liturgika	1L	o.dr R. Tomczak	4	zst	egz	2	2	2	2	4	IV		poniedziałek	10:15	11:45	114A			
Metody animacji społeczno-kulturalnej 2	1M	mgr A. Szymańska	6	-	zst	-	2	-	2	2	IV		czwartek	08:45	10:15	114A			
Metodyka prowadzenia zespołów	1M	prof. dr hab.   Marta Kierska-Witczak	4	zst	egz	2	2	2	2	4	IV		czwartek	08:45	10:15	101B			
Orkiestra Smyczkowa Wydziału Edukacji Muzycznej	wszystkie lata	prof. dr hab. Helena Tomaszek-Plewa / wykł. Michał Kanafa	b. o.	zst	zst	4	4	4	4	8	IV		poniedziałek czwartek	15:30	17:00	001B		Czwartek godzina 11:30 - 13:00
Podstawy języka łacińskiego	1L	mgr A. Krajczyk	3	zst	zst	1	1	1	1	2	IV		wtorek	14:00	14:45	001F			
Podstawy prawne działalności społeczno-kulturalnej i zawodu nauczyciela	1M	dr Anna Skibińska	6	zst	-	2	-	2	-	2	IV		wtorek	15:00	16:30	001F			
Promocja i marketing dóbr kultury	2M	mgr Joanna Polak	14	zst	zst	2	2	2	2	4	IV		piątek	15:00	16:30	001E			
Rytmika	1L	mgr Barbara Ciupidro	4	zal	zst	2	1	1	1	2	IV		piątek	08:00	09:30	204E			
Schola gregoriańska	wszystkie lata	o.dr R. Tomczak	6	zst	zst	1	1	1	1	2	IV		poniedziałek	14:00	14:45	114A			
Semiologia gregoriańska	1M	o.dr R. Tomczak	6	zst	egz	1	1	1	1	2	IV		poniedziałek	13:00	13:45	114A			
Specjalistyczne kształcenie słuchu	1M	wykł. Michał Kanafa	4	zst	zst	1	1	2	2	4	IV		środa	12:15	13:00	001B			
